                           data_label                            |                   name                    |  release   |            lastmod            |             data_md5             
 GN-2018B-FT-113-17-002                                          | N20181217S0025.fits                       | 2019-06-17 | 2018-12-17 18:09:27.616323+00 | 80a9cbfcbe3ecb9a5b9080b3747ebadd
 GN-2018B-FT-113-17-001                                          | N20181217S0024.fits                       | 2019-06-17 | 2018-12-17 18:09:28.315318+00 | 5e62966d590bfd743231013cc6c13c7a
 GN-2018B-FT-113-16-004                                          | N20181217S0023.fits                       | 2018-12-17 | 2018-12-17 18:09:28.996312+00 | 3c69b7e987bb126be226d0dcc0875aac
 GN-2018B-FT-113-16-003                                          | N20181217S0022.fits                       | 2018-12-17 | 2018-12-17 18:09:30.601298+00 | 759cabd58a134a79d7076ee89a513a0a
 GN-2018B-FT-113-16-002                                          | N20181217S0021.fits                       | 2018-12-17 | 2018-12-17 18:09:31.395291+00 | fb4b8173b2c03ad39388c2fbf1a111b6
 GN-2018B-FT-113-16-001                                          | N20181217S0020.fits                       | 2018-12-17 | 2018-12-17 18:09:32.182284+00 | 905475088a0a7d1dd59b6016fda32f59
 GN-2018B-FT-113-15-004                                          | N20181217S0019.fits                       | 2018-12-17 | 2018-12-17 18:09:32.977277+00 | 825bffcd79eab783e6f11738b565a417
 GN-2018B-FT-113-15-003                                          | N20181217S0018.fits                       | 2018-12-17 | 2018-12-17 18:09:33.658271+00 | 4b155af998cae8d32b6addd395c084f9
 GN-2018B-FT-113-15-002                                          | N20181217S0017.fits                       | 2018-12-17 | 2018-12-17 18:09:34.345265+00 | e72cceac41b9cb17fcc7a69338f46893
 GN-2018B-FT-113-15-001                                          | N20181217S0016.fits                       | 2018-12-17 | 2018-12-17 18:09:35.043259+00 | fc1df5ff3c0a8bdbe5e350ba5b313e56
 GN-2018B-Q-119-1211-004                                         | N20181217S0015.fits                       | 2018-12-17 | 2018-12-17 18:09:37.679237+00 | 78caf5f93b7932b51d3f9afebc537bdd
 GN-2018B-Q-119-1211-003                                         | N20181217S0014.fits                       | 2018-12-17 | 2018-12-17 18:09:38.51723+00  | 0a4204409bb0b2afc391d496c2e2615a
 GN-2018B-Q-119-1211-002                                         | N20181217S0013.fits                       | 2018-12-17 | 2018-12-17 18:09:39.420222+00 | eb2c1f385704a7eabfdc431f4ee3e017
 GN-2018B-Q-119-1211-001                                         | N20181217S0012.fits                       | 2018-12-17 | 2018-12-17 18:09:40.228215+00 | fe453160462ff5f2ff58cfa949454078
 GN-2018B-Q-119-1210-004                                         | N20181217S0011.fits                       | 2018-12-17 | 2018-12-17 18:09:40.965208+00 | 90305f44fe4bd7815256dc1cd893ac4a
